id,fullName,shortName,category,sizing
IT256,"Bicycle rear wheel with gear cassette, 26-inch, spokes intact",Bicycle Rear Wheel with Cassette,Scrap Parts,Small
IT257,"Wooden cabinet door pair with ornate carved panel, teak wood",Carved Teak Cabinet Door Pair,Scrap Parts,Small
IT258,"Boat rudder assembly from small canal wooden boat, tiller attached",Canal Boat Rudder with Tiller,Scrap Parts,Small
IT259,"Metal desk drawer unit with three drawers, ball-bearing slides",Metal Desk Drawer Unit,Scrap Parts,Small
IT260,"Electric motor housing from old water pump, 0.5HP, casing only",Water Pump Motor Housing,Scrap Parts,Small
IT261,"Single rattan armchair arm section, curved, with upholstery tack",Rattan Chair Arm Section,Scrap Parts,Small
IT262,"Motorcycle wheel rim from Honda PCX 150, alloy, no tire",Honda PCX Alloy Wheel Rim,Scrap Parts,Small
IT263,Wooden boat transom section with outboard motor mounting bracket,Boat Transom with Motor Bracket,Scrap Parts,Large
IT264,Old sewing machine arm and needle housing from Singer model,Sewing Machine Arm Housing,Scrap Parts,Small
IT265,"Industrial fan blade unit, aluminum, five blades, hub intact",Industrial Fan Blade Unit,Scrap Parts,Small
IT266,"Single school chair seat and back panel, molded plastic, orange",School Chair Seat and Back,Scrap Parts,Small
IT267,"Front fork assembly from adult bicycle, threaded, no handlebars",Bicycle Front Fork Assembly,Scrap Parts,Small
IT268,"Old Thai longtail boat steering wheel, wooden, with iron spoke",Longtail Boat Steering Wheel,Scrap Parts,Small
IT269,"Drawer chest top surface section, plywood with veneer, handles on",Drawer Chest Top Panel,Scrap Parts,Large
IT270,"Electric ceiling fan canopy and motor housing, teak wood cover",Ceiling Fan Motor Housing,Scrap Parts,Small
IT271,"Car bonnet from Isuzu pickup truck, grey primer, one dent",Isuzu Pickup Truck Bonnet,Scrap Parts,Large
IT272,"Wooden table base with four legs, round pedestal type, no top",Round Pedestal Table Base,Scrap Parts,Small
IT273,"Outboard motor lower unit from Mariner 15HP, gearbox intact",Outboard Motor Lower Gearbox Unit,Scrap Parts,Small
IT274,"Single bed headboard, rattan weave with wooden frame, intact",Rattan Bed Headboard,Scrap Parts,Large
IT275,Water pump impeller housing from old submersible pump unit,Submersible Pump Impeller Housing,Scrap Parts,Small
IT276,"Motorcycle swingarm from Yamaha Fino scooter, chrome, no wheel",Yamaha Fino Swingarm,Scrap Parts,Small
IT277,"Broken piano keyboard section, 30 keys, ivory-look keytops",Piano Keyboard Section,Scrap Parts,Large
IT278,"Wooden door panel with glass louvres, four slats, teak frame",Wooden Door with Glass Louvres,Scrap Parts,Large
IT279,"Air conditioning compressor unit from split-type system, old",AC Split-Type Compressor Unit,Scrap Parts,Small
IT280,Motorcycle exhaust pipe and silencer from old Honda Dream,Honda Dream Exhaust Silencer,Scrap Parts,Large
IT281,"Wooden wardrobe hanging rail section with brackets, full width",Wardrobe Hanging Rail with Brackets,Scrap Parts,Large
IT282,"Food cart wheel and axle frame assembly, stainless steel type",Food Cart Wheel Frame Assembly,Scrap Parts,Small
IT283,"Single sofa backrest cushion unit, foam filled, fabric cover",Sofa Backrest Cushion,Scrap Parts,Small
IT284,"Old longtail boat hull rib section, hardwood, curved, 1.5m arc",Longtail Boat Hull Rib Section,Scrap Parts,Large
IT285,"Ceiling fan blade set, four wooden blades with mounting irons",Ceiling Fan Blade Set,Scrap Parts,Small
IT286,"Rotary clothes washing mangle wringer unit, double rollers intact",Clothes Mangle Wringer Unit,Scrap Parts,Small
IT287,"Metal shelf bracket set of six, heavy duty, painted black",Heavy Duty Metal Shelf Bracket Set,Scrap Parts,Small
IT288,"Old wooden boat deck hatch with hinges and clasp, teak",Teak Boat Deck Hatch,Scrap Parts,Small
IT289,"Motorcycle carburetor from Kawasaki Ninja 150, cleaned",Kawasaki Ninja Carburetor,Scrap Parts,Small
IT290,"Single drawer from Thai wooden kitchen cabinet, teak, dovetail joints",Teak Kitchen Cabinet Drawer,Scrap Parts,Small
IT291,"Ferris wheel seat gondola from children's amusement ride, fiberglass",Amusement Ride Gondola Seat,Scrap Parts,Small
IT292,"Small outboard engine throttle and gearshift control box, used",Outboard Engine Control Box,Scrap Parts,Small
IT293,"Old food vending cart canopy frame, folding aluminum poles, faded",Food Cart Canopy Frame,Scrap Parts,Large
IT294,"Wooden daybed side panel section, carved motif, lacquered finish",Carved Daybed Side Panel,Scrap Parts,Large
IT295,"Bus seat unit with metal frame and vinyl upholstery, two-person",Bus Seat Unit Two-Person,Scrap Parts,Large
IT296,"Bicycle frame from old Raleigh Roadster, no wheels, chrome lugs",Raleigh Roadster Bicycle Frame,Scrap Parts,Large
IT297,"Air compressor tank cylinder only, 20-liter, rusted exterior",Air Compressor Tank Cylinder,Scrap Parts,Small
IT298,"Wooden shop display shelf section, glass front panel missing",Shop Display Shelf Section,Scrap Parts,Large
IT299,"Used hand water pump head assembly, cast iron, no pipe attached",Cast Iron Hand Pump Head,Scrap Parts,Small
IT300,"Old canal barge fender, hardwood block with rope loop, 40cm",Canal Barge Fender Block,Scrap Parts,Small
IT301,"Commercial food blender base unit with motor, no jar, stainless",Commercial Blender Base Unit,Scrap Parts,Small
